Model,Accuracy,Classification Report
Logistic Regression,0.898154891964069,"{'precision': 0.9078748107016659, 'recall': 0.9850746268656716, 'f1-score': 0.9449005056806988, 'support': 7303.0}"
Logistic Regression,0.898154891964069,"{'precision': 0.6528662420382165, 'recall': 0.2192513368983957, 'f1-score': 0.32826261008807045, 'support': 935.0}"
Logistic Regression,0.898154891964069,0.898154891964069
Logistic Regression,0.898154891964069,"{'precision': 0.7803705263699412, 'recall': 0.6021629818820337, 'f1-score': 0.6365815578843846, 'support': 8238.0}"
Logistic Regression,0.898154891964069,"{'precision': 0.8789317405753823, 'recall': 0.898154891964069, 'f1-score': 0.8749130776181706, 'support': 8238.0}"
