Model,Accuracy,Classification Report
Logistic Regression,0.72,"{'precision': 0.7428571428571429, 'recall': 0.9219858156028369, 'f1-score': 0.8227848101265823, 'support': 141.0}"
Logistic Regression,0.72,"{'precision': 0.56, 'recall': 0.23728813559322035, 'f1-score': 0.3333333333333333, 'support': 59.0}"
Logistic Regression,0.72,0.72
Logistic Regression,0.72,"{'precision': 0.6514285714285715, 'recall': 0.5796369755980286, 'f1-score': 0.5780590717299579, 'support': 200.0}"
Logistic Regression,0.72,"{'precision': 0.6889142857142858, 'recall': 0.72, 'f1-score': 0.6783966244725739, 'support': 200.0}"
